Product_ID,Product_Name,Catagory,Supplier_ID,Supplier_Name,Stock_Quantity,Reorder_Level,Reorder_Quantity,Unit_Price,Date_Received,Last_Order_Date,Expiration_Date,Warehouse_Location,Sales_Volume,Inventory_Turnover_Rate,Status,Days_To_Expiry,Shelf_Life_Days,Stock_Pressure,Turnover_Label,Expiry_Risk_Level,Discount_Percent,Dynamic_Selling_Price,Expiry_Ratio,Is_Expired,Product_Status,Turnover_Normalized,Stock_Pressure_Normalized
29-205-1132,Sushi Rice,Grains & Pulses,38-037-1699,Jaxnation,22,72,70,4.5,2025-08-17,2025-06-30,2025-09-20,48 Del Sol Trail,32,19,Discontinued,101,34,0.3013698630136986,Slow,Low,24.62,3.15,1.0,False,Active,0.18181818181818182,0.0037371378069566328
40-681-9981,Arabica Coffee,Beverages,54-470-2479,Feedmix,45,77,2,20.0,2025-11-02,2025-05-30,2025-05-09,36 3rd Place,85,1,Discontinued,-33,1,0.5769230769230769,Slow,High,0.0,6.000000000000001,0.0,True,Expired,0.0,0.0
06-955-3428,Black Rice,Grains & Pulses,54-031-2945,Vinder,30,38,83,6.0,2025-08-04,2025-06-11,2025-09-23,3296 Walton Court,31,34,Backordered,104,50,0.7692307692307693,Medium,Low,20.26,5.4,1.0,False,Active,0.33333333333333337,0.013115916341722796
71-594-6552,Long Grain Rice,Grains & Pulses,63-492-7603,Brightbean,12,59,62,1.5,2025-12-09,2026-02-20,2025-04-18,3 Westerfield Crossing,95,99,Active,-54,1,0.2,Fast,High,0.0,0.8999999999999999,0.0,True,Expired,0.0,0.0
57-437-1828,Plum,Fruits & Vegetables,54-226-4308,Topicstorm,37,30,74,4.0,2025-07-04,2025-10-12,2025-10-06,15068 Scoville Court,62,25,Backordered,117,94,1.1935483870967742,Medium,Low,23.16,3.6,1.0,False,Active,0.24242424242424243,0.021621822506317827
21-120-6238,All-Purpose Flour,Grains & Pulses,86-292-4587,Dabjam,55,33,14,1.75,2025-12-04,2025-05-27,2025-09-06,050 Mcbride Avenue,34,62,Discontinued,87,1,1.6176470588235294,Fast,Low,12.12,1.4875,1.0,False,Active,0.6161616161616162,0.030123339658444027
71-516-1996,Corn Oil,Oils & Fats,04-391-7610,Tagfeed,96,52,16,2.5,2025-03-19,2025-05-08,2025-06-21,12 Truax Court,67,13,Active,10,94,1.8113207547169807,Slow,Medium,71.72,0.875,0.10638297872340426,False,Active,0.12121212121212123,0.03400573863142335
39-629-5554,Egg (Goose),Dairy,67-679-4930,Muxo,44,90,17,2.5,2026-02-04,2025-04-10,2026-02-06,267 International Plaza,21,91,Discontinued,240,2,0.4835164835164835,Fast,Low,2.88,2.5,1.0,False,Active,0.9090909090909092,0.007388464070491723
66-268-8345,Greek Yogurt,Dairy,32-182-1895,Thoughtstorm,91,84,11,3.0,2025-12-05,2025-06-03,2026-01-09,550 Clemons Plaza,56,90,Active,212,35,1.0705882352941176,Fast,Low,3.41,3.0,1.0,False,Active,0.8989898989898991,0.019156953103822177
46-452-9419,Egg (Duck),Dairy,67-137-4215,Wordify,43,10,15,1.0,2025-11-19,2025-11-15,2025-07-09,55782 Welch Hill,27,69,Active,28,1,3.909090909090909,Fast,Medium,10.92,0.65,1.0,False,Active,0.686868686868687,0.07605781315458734
51-469-4611,Long Grain Rice,Grains & Pulses,62-029-0827,Fivebridge,62,81,91,1.6,2025-12-19,2025-05-25,2026-01-08,04776 Saint Paul Park,100,42,Discontinued,211,20,0.7560975609756098,Medium,Low,17.83,1.4400000000000002,1.0,False,Active,0.41414141414141414,0.012852646959649322
42-220-9305,White Sugar,Grains & Pulses,56-092-7992,Zooxo,91,98,6,2.0,2025-10-20,2025-12-12,2025-10-15,61932 Cascade Crossing,100,20,Backordered,126,1,0.9191919191919192,Slow,Low,24.56,1.4,1.0,False,Active,0.19191919191919193,0.01612204999301774
75-094-1179,Rye Bread,Bakery,57-615-0729,Vitz,26,79,31,3.0,2025-12-14,2026-02-10,2025-07-19,13 Forest Run Place,47,41,Discontinued,38,1,0.325,Medium,Low,17.96,2.7,1.0,False,Active,0.4040404040404041,0.00421082949308756
